"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get exercises","LMS service","Tue Aug 19 19:24:38 UTC 2025","passed","Tue Aug 19 19:24:38 UTC 2025","Get entities","Exercises","",""
"","558","Create user","LMS service","Tue Aug 19 19:24:41 UTC 2025","passed","Tue Aug 19 19:24:42 UTC 2025","Create entity","Users","",""
"","286","Create user","LMS service","Tue Aug 19 19:24:41 UTC 2025","passed","Tue Aug 19 19:24:41 UTC 2025","Create entity","Users","",""
"","260","Create file with empty directory","LMS service","Tue Aug 19 19:24:40 UTC 2025","passed","Tue Aug 19 19:24:40 UTC 2025","Validate entity","Files","",""
"","30","Update exercise","LMS service","Tue Aug 19 19:24:35 UTC 2025","passed","Tue Aug 19 19:24:36 UTC 2025","Update entity","Exercises","",""
"","36","Get courses","LMS service","Tue Aug 19 19:24:34 UTC 2025","passed","Tue Aug 19 19:24:34 UTC 2025","Get entities","Courses","",""
"","11","Get user me","LMS service","Tue Aug 19 19:24:42 UTC 2025","passed","Tue Aug 19 19:24:42 UTC 2025","Get entity","Users","",""
"","259","Create file with empty filename","LMS service","Tue Aug 19 19:24:39 UTC 2025","passed","Tue Aug 19 19:24:39 UTC 2025","Validate entity","Files","",""
"","27","Create exercise","LMS service","Tue Aug 19 19:24:35 UTC 2025","passed","Tue Aug 19 19:24:35 UTC 2025","Create entity","Exercises","",""
"","21","Delete file","LMS service","Tue Aug 19 19:24:40 UTC 2025","passed","Tue Aug 19 19:24:40 UTC 2025","Delete entity","Files","",""
"","20","Create file","LMS service","Tue Aug 19 19:24:38 UTC 2025","passed","Tue Aug 19 19:24:38 UTC 2025","Create entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Tue Aug 19 19:24:41 UTC 2025","passed","Tue Aug 19 19:24:41 UTC 2025","Validate entity","Files","",""
"","28","Get exercise","LMS service","Tue Aug 19 19:24:37 UTC 2025","passed","Tue Aug 19 19:24:37 UTC 2025","Get entity","Exercises","",""
"","31","Create course","LMS service","Tue Aug 19 19:24:34 UTC 2025","passed","Tue Aug 19 19:24:34 UTC 2025","Create entity","Courses","",""
"","552","Login with correct email and password","LMS service","Tue Aug 19 19:24:33 UTC 2025","passed","Tue Aug 19 19:24:33 UTC 2025","Login","Authentication","",""
"","19","Delete exercise","LMS service","Tue Aug 19 19:24:37 UTC 2025","passed","Tue Aug 19 19:24:37 UTC 2025","Delete entity","Exercises","",""
"","34","Update course","LMS service","Tue Aug 19 19:24:33 UTC 2025","passed","Tue Aug 19 19:24:33 UTC 2025","Update entity","Courses","",""
"","555","Create user","LMS service","Tue Aug 19 19:24:41 UTC 2025","passed","Tue Aug 19 19:24:41 UTC 2025","Create entity","Users","",""
"","285","Get file","LMS service","Tue Aug 19 19:24:39 UTC 2025","passed","Tue Aug 19 19:24:39 UTC 2025","Get entity","Files","",""
