"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get courses","LMS service","Thu Aug 21 03:24:08 UTC 2025","passed","Thu Aug 21 03:24:08 UTC 2025","Get entities","Courses","",""
"","554","Login with correct email and password","LMS service","Thu Aug 21 03:24:06 UTC 2025","passed","Thu Aug 21 03:24:07 UTC 2025","Login","Authentication","",""
"","543","Create user","LMS service","Thu Aug 21 03:24:14 UTC 2025","passed","Thu Aug 21 03:24:15 UTC 2025","Create entity","Users","",""
"","21","Get exercise","LMS service","Thu Aug 21 03:24:10 UTC 2025","passed","Thu Aug 21 03:24:10 UTC 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Thu Aug 21 03:24:13 UTC 2025","passed","Thu Aug 21 03:24:13 UTC 2025","Get entity","Files","",""
"","267","Create file with empty directory","LMS service","Thu Aug 21 03:24:13 UTC 2025","passed","Thu Aug 21 03:24:14 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Thu Aug 21 03:24:13 UTC 2025","passed","Thu Aug 21 03:24:13 UTC 2025","Validate entity","Files","",""
"","561","Create user","LMS service","Thu Aug 21 03:24:15 UTC 2025","passed","Thu Aug 21 03:24:16 UTC 2025","Create entity","Users","",""
"","263","Create file","LMS service","Thu Aug 21 03:24:12 UTC 2025","passed","Thu Aug 21 03:24:12 UTC 2025","Create entity","Files","",""
"","26","Delete file","LMS service","Thu Aug 21 03:24:14 UTC 2025","passed","Thu Aug 21 03:24:14 UTC 2025","Delete entity","Files","",""
"","290","Create user","LMS service","Thu Aug 21 03:24:15 UTC 2025","passed","Thu Aug 21 03:24:15 UTC 2025","Create entity","Users","",""
"","305","Update course","LMS service","Thu Aug 21 03:24:07 UTC 2025","passed","Thu Aug 21 03:24:07 UTC 2025","Update entity","Courses","",""
"","264","Get file with incorrect file id","LMS service","Thu Aug 21 03:24:15 UTC 2025","passed","Thu Aug 21 03:24:15 UTC 2025","Validate entity","Files","",""
"","25","Create exercise","LMS service","Thu Aug 21 03:24:09 UTC 2025","passed","Thu Aug 21 03:24:09 UTC 2025","Create entity","Exercises","",""
"","35","Create course","LMS service","Thu Aug 21 03:24:08 UTC 2025","passed","Thu Aug 21 03:24:08 UTC 2025","Create entity","Courses","",""
"","294","Update exercise","LMS service","Thu Aug 21 03:24:10 UTC 2025","passed","Thu Aug 21 03:24:10 UTC 2025","Update entity","Exercises","",""
"","23","Get exercises","LMS service","Thu Aug 21 03:24:11 UTC 2025","passed","Thu Aug 21 03:24:11 UTC 2025","Get entities","Exercises","",""
"","287","Delete exercise","LMS service","Thu Aug 21 03:24:11 UTC 2025","passed","Thu Aug 21 03:24:11 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Thu Aug 21 03:24:16 UTC 2025","passed","Thu Aug 21 03:24:16 UTC 2025","Get entity","Users","",""
