"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Get file with incorrect file id","LMS service","Tue Aug 19 19:13:44 UTC 2025","passed","Tue Aug 19 19:13:45 UTC 2025","Validate entity","Files","",""
"","33","Create course","LMS service","Tue Aug 19 19:13:38 UTC 2025","passed","Tue Aug 19 19:13:38 UTC 2025","Create entity","Courses","",""
"","289","Create user","LMS service","Tue Aug 19 19:13:45 UTC 2025","passed","Tue Aug 19 19:13:45 UTC 2025","Create entity","Users","",""
"","543","Create user","LMS service","Tue Aug 19 19:13:44 UTC 2025","passed","Tue Aug 19 19:13:45 UTC 2025","Create entity","Users","",""
"","287","Login with correct email and password","LMS service","Tue Aug 19 19:13:36 UTC 2025","passed","Tue Aug 19 19:13:36 UTC 2025","Login","Authentication","",""
"","13","Get user me","LMS service","Tue Aug 19 19:13:46 UTC 2025","passed","Tue Aug 19 19:13:46 UTC 2025","Get entity","Users","",""
"","293","Get exercise","LMS service","Tue Aug 19 19:13:40 UTC 2025","passed","Tue Aug 19 19:13:40 UTC 2025","Get entity","Exercises","",""
"","304","Update course","LMS service","Tue Aug 19 19:13:37 UTC 2025","passed","Tue Aug 19 19:13:37 UTC 2025","Update entity","Courses","",""
"","21","Create file with empty filename","LMS service","Tue Aug 19 19:13:43 UTC 2025","passed","Tue Aug 19 19:13:43 UTC 2025","Validate entity","Files","",""
"","290","Get exercises","LMS service","Tue Aug 19 19:13:41 UTC 2025","passed","Tue Aug 19 19:13:41 UTC 2025","Get entities","Exercises","",""
"","560","Create user","LMS service","Tue Aug 19 19:13:45 UTC 2025","passed","Tue Aug 19 19:13:45 UTC 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Tue Aug 19 19:13:39 UTC 2025","passed","Tue Aug 19 19:13:39 UTC 2025","Update entity","Exercises","",""
"","294","Delete exercise","LMS service","Tue Aug 19 19:13:40 UTC 2025","passed","Tue Aug 19 19:13:40 UTC 2025","Delete entity","Exercises","",""
"","298","Get courses","LMS service","Tue Aug 19 19:13:37 UTC 2025","passed","Tue Aug 19 19:13:37 UTC 2025","Get entities","Courses","",""
"","15","Get file","LMS service","Tue Aug 19 19:13:43 UTC 2025","passed","Tue Aug 19 19:13:43 UTC 2025","Get entity","Files","",""
"","20","Create file","LMS service","Tue Aug 19 19:13:41 UTC 2025","passed","Tue Aug 19 19:13:41 UTC 2025","Create entity","Files","",""
"","294","Create exercise","LMS service","Tue Aug 19 19:13:39 UTC 2025","passed","Tue Aug 19 19:13:39 UTC 2025","Create entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Tue Aug 19 19:13:43 UTC 2025","passed","Tue Aug 19 19:13:44 UTC 2025","Validate entity","Files","",""
"","24","Delete file","LMS service","Tue Aug 19 19:13:44 UTC 2025","passed","Tue Aug 19 19:13:44 UTC 2025","Delete entity","Files","",""
