"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty directory","LMS service","Tue Aug 19 19:15:42 UTC 2025","passed","Tue Aug 19 19:15:43 UTC 2025","Validate entity","Files","",""
"","21","Get exercises","LMS service","Tue Aug 19 19:15:40 UTC 2025","passed","Tue Aug 19 19:15:40 UTC 2025","Get entities","Exercises","",""
"","297","Get exercise","LMS service","Tue Aug 19 19:15:39 UTC 2025","passed","Tue Aug 19 19:15:39 UTC 2025","Get entity","Exercises","",""
"","301","Update course","LMS service","Tue Aug 19 19:15:36 UTC 2025","passed","Tue Aug 19 19:15:36 UTC 2025","Update entity","Courses","",""
"","21","Update exercise","LMS service","Tue Aug 19 19:15:39 UTC 2025","passed","Tue Aug 19 19:15:39 UTC 2025","Update entity","Exercises","",""
"","559","Create user","LMS service","Tue Aug 19 19:15:44 UTC 2025","passed","Tue Aug 19 19:15:44 UTC 2025","Create entity","Users","",""
"","34","Create course","LMS service","Tue Aug 19 19:15:37 UTC 2025","passed","Tue Aug 19 19:15:37 UTC 2025","Create entity","Courses","",""
"","25","Create exercise","LMS service","Tue Aug 19 19:15:38 UTC 2025","passed","Tue Aug 19 19:15:38 UTC 2025","Create entity","Exercises","",""
"","33","Delete file","LMS service","Tue Aug 19 19:15:43 UTC 2025","passed","Tue Aug 19 19:15:43 UTC 2025","Delete entity","Files","",""
"","552","Login with correct email and password","LMS service","Tue Aug 19 19:15:35 UTC 2025","passed","Tue Aug 19 19:15:36 UTC 2025","Login","Authentication","",""
"","15","Get file","LMS service","Tue Aug 19 19:15:41 UTC 2025","passed","Tue Aug 19 19:15:41 UTC 2025","Get entity","Files","",""
"","263","Create file with empty filename","LMS service","Tue Aug 19 19:15:42 UTC 2025","passed","Tue Aug 19 19:15:42 UTC 2025","Validate entity","Files","",""
"","288","Delete exercise","LMS service","Tue Aug 19 19:15:40 UTC 2025","passed","Tue Aug 19 19:15:40 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Tue Aug 19 19:15:45 UTC 2025","passed","Tue Aug 19 19:15:45 UTC 2025","Get entity","Users","",""
"","261","Get file with incorrect file id","LMS service","Tue Aug 19 19:15:43 UTC 2025","passed","Tue Aug 19 19:15:44 UTC 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Tue Aug 19 19:15:37 UTC 2025","passed","Tue Aug 19 19:15:37 UTC 2025","Get entities","Courses","",""
"","260","Create file","LMS service","Tue Aug 19 19:15:41 UTC 2025","passed","Tue Aug 19 19:15:41 UTC 2025","Create entity","Files","",""
"","287","Create user","LMS service","Tue Aug 19 19:15:44 UTC 2025","passed","Tue Aug 19 19:15:44 UTC 2025","Create entity","Users","",""
"","531","Create user","LMS service","Tue Aug 19 19:15:43 UTC 2025","passed","Tue Aug 19 19:15:44 UTC 2025","Create entity","Users","",""
