"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Get file","LMS service","Tue Aug 19 19:09:43 UTC 2025","passed","Tue Aug 19 19:09:43 UTC 2025","Get entity","Files","",""
"","559","Create user","LMS service","Tue Aug 19 19:09:46 UTC 2025","passed","Tue Aug 19 19:09:46 UTC 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Tue Aug 19 19:09:39 UTC 2025","passed","Tue Aug 19 19:09:39 UTC 2025","Create entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Tue Aug 19 19:09:36 UTC 2025","passed","Tue Aug 19 19:09:37 UTC 2025","Login","Authentication","",""
"","295","Update exercise","LMS service","Tue Aug 19 19:09:40 UTC 2025","passed","Tue Aug 19 19:09:40 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Tue Aug 19 19:09:47 UTC 2025","passed","Tue Aug 19 19:09:47 UTC 2025","Get entity","Users","",""
"","310","Update course","LMS service","Tue Aug 19 19:09:37 UTC 2025","passed","Tue Aug 19 19:09:37 UTC 2025","Update entity","Courses","",""
"","19","Get exercises","LMS service","Tue Aug 19 19:09:41 UTC 2025","passed","Tue Aug 19 19:09:41 UTC 2025","Get entities","Exercises","",""
"","289","Create user","LMS service","Tue Aug 19 19:09:46 UTC 2025","passed","Tue Aug 19 19:09:46 UTC 2025","Create entity","Users","",""
"","289","Create file with empty directory","LMS service","Tue Aug 19 19:09:44 UTC 2025","passed","Tue Aug 19 19:09:45 UTC 2025","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Tue Aug 19 19:09:45 UTC 2025","passed","Tue Aug 19 19:09:45 UTC 2025","Validate entity","Files","",""
"","347","Create file","LMS service","Tue Aug 19 19:09:42 UTC 2025","passed","Tue Aug 19 19:09:42 UTC 2025","Create entity","Files","",""
"","19","Create file with empty filename","LMS service","Tue Aug 19 19:09:43 UTC 2025","passed","Tue Aug 19 19:09:43 UTC 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Tue Aug 19 19:09:38 UTC 2025","passed","Tue Aug 19 19:09:38 UTC 2025","Get entities","Courses","",""
"","290","Delete exercise","LMS service","Tue Aug 19 19:09:41 UTC 2025","passed","Tue Aug 19 19:09:41 UTC 2025","Delete entity","Exercises","",""
"","27","Create course","LMS service","Tue Aug 19 19:09:38 UTC 2025","passed","Tue Aug 19 19:09:38 UTC 2025","Create entity","Courses","",""
"","20","Delete file","LMS service","Tue Aug 19 19:09:45 UTC 2025","passed","Tue Aug 19 19:09:45 UTC 2025","Delete entity","Files","",""
"","540","Create user","LMS service","Tue Aug 19 19:09:45 UTC 2025","passed","Tue Aug 19 19:09:45 UTC 2025","Create entity","Users","",""
"","24","Get exercise","LMS service","Tue Aug 19 19:09:40 UTC 2025","passed","Tue Aug 19 19:09:40 UTC 2025","Get entity","Exercises","",""
